657,996
656,997
648,997
647,998
636,998
635,999
631,999
630,998
629,998
628,999
617,999
616,1000
600,1000
599,1001
598,1001
597,1000
594,1000
593,1001
580,1001
579,1002
575,1002
574,1003
547,1003
546,1004
545,1004
544,1005
544,1006
543,1007
543,1008
541,1010
541,1011
540,1012
540,1014
539,1015
539,1016
537,1018
537,1020
536,1021
536,1022
535,1023
535,1024
534,1025
534,1026
533,1027
533,1028
532,1029
532,1030
531,1031
531,1032
530,1033
530,1035
529,1036
529,1037
528,1038
528,1039
527,1040
527,1041
526,1042
526,1043
525,1044
525,1045
524,1046
524,1047
523,1048
523,1049
522,1050
522,1051
521,1052
521,1054
520,1055
520,1056
518,1058
518,1059
517,1060
517,1062
515,1064
515,1066
514,1067
514,1068
513,1069
513,1070
512,1071
512,1072
511,1073
511,1074
509,1076
509,1078
508,1079
508,1081
507,1082
507,1083
506,1084
506,1085
505,1086
505,1087
504,1088
504,1089
503,1090
503,1091
502,1092
502,1093
501,1094
501,1095
500,1096
500,1097
499,1098
499,1099
498,1100
498,1101
497,1102
497,1103
496,1104
496,1105
495,1106
495,1107
494,1108
494,1109
493,1110
493,1112
494,1113
494,1114
495,1115
495,1116
497,1118
497,1119
499,1121
499,1122
500,1123
500,1124
502,1126
502,1127
504,1129
504,1130
506,1132
506,1133
508,1135
508,1136
510,1138
510,1139
512,1141
512,1142
514,1144
514,1145
516,1147
516,1148
518,1150
518,1151
520,1153
520,1154
523,1157
523,1158
525,1160
525,1161
527,1163
527,1164
528,1165
528,1166
531,1169
531,1170
533,1172
533,1173
536,1176
536,1177
537,1178
537,1179
539,1181
539,1182
541,1184
541,1185
543,1187
543,1188
545,1190
545,1191
547,1193
547,1194
549,1196
549,1197
551,1199
551,1200
553,1202
553,1203
555,1205
555,1206
557,1208
557,1209
559,1211
572,1211
573,1210
587,1210
588,1209
606,1209
607,1208
622,1208
623,1207
638,1207
639,1206
650,1206
651,1205
660,1205
661,1204
671,1204
672,1203
675,1203
676,1204
677,1204
678,1203
680,1203
680,1202
682,1200
682,1198
683,1197
683,1196
684,1195
684,1194
685,1193
685,1192
686,1191
686,1190
688,1188
688,1187
689,1186
689,1184
690,1183
690,1182
692,1180
692,1179
693,1178
693,1176
695,1174
695,1172
696,1171
696,1170
697,1169
697,1168
698,1167
698,1165
700,1163
700,1161
702,1159
702,1157
703,1156
703,1155
704,1154
704,1153
706,1151
706,1150
707,1149
707,1148
708,1147
708,1146
709,1145
709,1144
710,1143
710,1141
712,1139
712,1137
714,1135
714,1133
716,1131
716,1129
718,1127
718,1125
719,1124
719,1123
720,1122
720,1121
721,1120
721,1119
722,1118
722,1117
723,1116
723,1115
724,1114
724,1113
725,1112
725,1111
726,1110
726,1109
727,1108
727,1107
728,1106
728,1105
729,1104
729,1103
730,1102
730,1101
731,1100
731,1098
732,1097
732,1096
731,1095
731,1094
730,1093
730,1092
727,1089
727,1088
726,1087
726,1086
724,1084
724,1083
723,1082
723,1081
721,1079
721,1078
720,1077
720,1076
716,1072
716,1071
714,1069
714,1068
712,1066
712,1065
711,1064
711,1063
709,1061
709,1060
704,1055
704,1054
703,1053
703,1052
702,1051
702,1050
700,1048
700,1047
698,1045
698,1044
696,1042
696,1041
693,1038
693,1037
692,1036
692,1035
690,1033
690,1032
688,1030
688,1029
687,1028
687,1027
684,1024
684,1023
682,1021
682,1020
681,1019
681,1018
679,1016
679,1015
677,1013
677,1012
675,1010
675,1009
671,1005
671,1004
670,1003
670,1002
666,998
663,998
662,997
659,997
658,996
